time: 2.57313, sat, valid
time: 0.208602, sat, valid
time: 0.0745479, sat, valid
time: 0.199425, sat, valid
time: 0.0507562, sat, valid
time: 0.124068, sat, valid
time: 1.42014, sat, valid
time: 0.112401, sat, valid
time: 0.543661, sat, valid
time: 0.523192, sat, valid
time: 1.19595, sat, valid
time: 0.737567, sat, valid
time: 2.62502, sat, valid
time: 1.79299, sat, valid
time: 1.60209, sat, valid
time: 0.644498, sat, valid
time: 2.24196, sat, valid
time: 1.47398, sat, valid
time: 4.007, sat, valid
time: 2.19978, sat, valid
time: 0.483004, sat, valid
time: 0.67458, sat, valid
time: 0.281017, sat, valid
time: 0.346504, sat, valid
time: 1.07872, sat, valid
time: 2.41458, sat, valid
time: 1.05638, sat, valid
time: 2.87961, sat, valid
time: 1.86843, sat, valid
time: 0.0186268, sat, valid
time: 0.381761, sat, valid
time: 2.36197, sat, valid
time: 1.58825, sat, valid
time: 2.80173, sat, valid
time: 3.80858, sat, valid
time: 1.89675, sat, valid
time: 3.92502, sat, valid
time: 0.393889, sat, valid
time: 0.115236, sat, valid
time: 0.0234467, sat, valid
time: 3.48124, sat, valid
time: 1.07115, sat, valid
time: 1.72944, sat, valid
time: 0.174042, sat, valid
time: 1.50883, sat, valid
time: 3.19251, sat, valid
time: 4.04735, sat, valid
time: 3.82939, sat, valid
time: 4.65641, sat, valid
time: 0.443006, sat, valid
time: 1.20523, sat, valid
time: 3.69084, sat, valid
time: 0.283085, sat, valid
time: 2.27061, sat, valid
time: 0.850028, sat, valid
time: 0.315453, sat, valid
time: 0.159122, sat, valid
time: 2.38857, sat, valid
time: 0.350774, sat, valid
time: 1.37683, sat, valid
time: 0.673035, sat, valid
time: 0.23138, sat, valid
time: 1.9581, sat, valid
time: 1.32703, sat, valid
time: 1.4741, sat, valid
time: 0.131939, sat, valid
time: 1.33167, sat, valid
time: 1.70217, sat, valid
time: 1.35407, sat, valid
time: 1.01679, sat, valid
time: 1.03738, sat, valid
time: 2.01015, sat, valid
time: 0.957963, sat, valid
time: 0.833607, sat, valid
time: 0.731867, sat, valid
