time: 0.282004, sat, valid
time: 1.42502, sat, valid
time: 0.455645, sat, valid
time: 1.2382, sat, valid
time: 0.301272, sat, valid
time: 0.126959, sat, valid
time: 0.560194, sat, valid
time: 0.318334, sat, valid
time: 0.0726113, sat, valid
time: 0.197908, sat, valid
time: 0.205554, sat, valid
time: 0.0468252, sat, valid
time: 1.25466, sat, valid
time: 2.38436, sat, valid
time: 0.0101675, sat, valid
time: 0.778248, sat, valid
time: 0.169195, sat, valid
time: 0.501031, sat, valid
time: 0.709182, sat, valid
time: 0.342247, sat, valid
time: 0.220233, sat, valid
time: 0.111289, sat, valid
time: 1.04562, sat, valid
time: 0.023727, sat, valid
time: 0.72286, sat, valid
time: 1.29081, sat, valid
time: 0.213052, sat, valid
time: 0.382116, sat, valid
time: 2.39175, sat, valid
time: 0.018228, sat, valid
time: 0.16516, sat, valid
time: 0.19678, sat, valid
time: 3.31863, sat, valid
time: 2.01994, sat, valid
time: 2.90955, sat, valid
time: 1.84762, sat, valid
time: 0.930319, sat, valid
time: 0.248851, sat, valid
time: 0.0407561, sat, valid
time: 2.39276, sat, valid
time: 1.39492, sat, valid
time: 1.34483, sat, valid
time: 0.940048, sat, valid
time: 0.518327, sat, valid
time: 0.22737, sat, valid
time: 3.55335, sat, valid
time: 0.0870934, sat, valid
time: 2.49816, sat, valid
time: 1.48806, sat, valid
time: 0.358455, sat, valid
time: 0.182086, sat, valid
time: 0.475519, sat, valid
time: 4.33454, sat, valid
time: 5.9293, sat, valid
time: 0.295859, sat, valid
time: 0.906205, sat, valid
time: 1.17261, sat, valid
time: 2.02854, sat, valid
time: 1.7349, sat, valid
time: 1.57387, sat, valid
time: 0.720255, sat, valid
time: 0.898414, sat, valid
time: 0.0257635, sat, valid
time: 1.01327, sat, valid
time: 0.395199, sat, valid
time: 0.861602, sat, valid
time: 0.205791, sat, valid
time: 1.00751, sat, valid
time: 2.16483, sat, valid
time: 1.96229, sat, valid
time: 0.00379871, sat, valid
time: 0.145418, sat, valid
time: 1.36882, sat, valid
time: 0.368947, sat, valid
time: 1.11977, sat, valid
time: 1.62263, sat, valid
time: 0.293869, sat, valid
